Subgrupo,N,N_rapida,Recall,Precision,F1,AUC,Dimensión
sexo=Masculino,268,107,0.3364485981308411,0.5142857142857142,0.4067796610169492,0.5877401753062054,Sexo
sexo=Femenino,176,87,0.6436781609195402,0.6086956521739131,0.6256983240223464,0.6686039002970424,Sexo
sitio_inicio=Miembro,202,91,0.42857142857142855,0.639344262295082,0.5131578947368421,0.6742896742896743,Sitio de inicio
sitio_inicio=Desconocido,194,77,0.4025974025974026,0.4696969696969697,0.43356643356643354,0.5883005883005883,Sitio de inicio
sitio_inicio=Bulbar,47,26,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.5805860805860806,Sitio de inicio
grupo_edad=<45,64,21,0.14285714285714285,0.3333333333333333,0.2,0.5459579180509413,Edad
grupo_edad=45-54,78,29,0.4482758620689655,0.4642857142857143,0.45614035087719296,0.6157635467980296,Edad
grupo_edad=55-64,234,118,0.5423728813559322,0.6336633663366337,0.5844748858447488,0.6279222676797195,Edad
grupo_edad=65-74,60,21,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6507936507936508,Edad
