feature,shap_medio
fvc_basal,0.045593872386963614
alsfrs_basal_total,0.038572551381106004
basal_bulbar,0.032642440364180104
creatinine,0.021603832525114084
basal_motor_grueso,0.01632913141611282
uric_acid,0.014894116700481314
basal_respiratorio,0.013692725622257821
basal_motor_fino,0.013231493847085319
Age,0.012959468783278869
Sex,0.012543457480928747
uric_acid_unknown,0.012267367055867342
weight_basal,0.011801634383161154
onset_unknown,0.010342934096071479
onset_bulbar,0.009905104260384453
albumin,0.009839514122512045
creatine_kinase,0.008301549478997484
onset_limb,0.004562539296701317
onset_limb_bulbar,0.00016631867072387378
onset_other,0.0
onset_spine,0.0
